あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ん,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
あーもんど,い（胃）,ういるす,え,お,か,き,く,け,こ,さーかす,し,す,せ,そいね,たーげっと,ち,つあー,て,とい,なーすこーる,に,ぬいいと,ね,のいず,は,ひ,ふぁいあ/ふぁいや/ふぁいやー,へ,ほ,まーち,み,む,め,も,や,ゆ,よあけ,らーど,りあかー,るあー,れあ,ろいやるみるくてぃー,わ,,が,ぎあ,ぐ,げい,ご,ざい,じーんず,ず,ぜい,ぞう,だーつ,づけ,であい,ど,ばー,びーえす,ぶあいそう,べあ,ぼいこっと,ぱー,ぴあす,ぷーあるちゃ,ぺあ,ぽいすて
あい,いいあらそい,ういろう,えあぎたー,おあしす,かーど,きあい,くいいじ,けあな,こあら,さーち,しあい,す,せあかこけぐも,そういれば,たーぼ,ちありーだー,ついか,てあし,といれ,ないか,にいにいぜみ,ぬいぐるみ,ねあがり,のいちご,は／はっぱ,ひあそび,ふぁいと,へあー,ほいーる,まーぼーどうふ,みあい,む,め,もあい,やいば,ゆいごんしょ,よあそび,らーめんや,しょうりきょうしつ,るい,れあちーずけーき,ろうか,わーるど,,がーぜ,ぎしき,ぐあい,げい,ごう,ざいあく,じえいたい,ずいいち,ぜいこみ,ぞう,だい,づら,でぃーぷきす,どあ,ばーがー,びーかー,ぶいやべーす,べいくどちーずけーき,ぼいす,ぱーかー,ぴあにか,ぷーどる,ぺあちけっと,ぽいんと
あいあい,いいつたえ,ういんかー,えあばっぐ,おあずけ,かーなび,きいろ,くいしんぼう,けいえい,こい,さーびす,しあげ,すあな,せあぶら,そうかい,たい,ちい,ついせき,てあて,といれっとぺーぱー,ないしょ,におい,ぬいしろ,ねあげ,のう,はーと,ひいき,ふぁいなる,へああくせさりー,ほいくし,まーぼーなす,みーと,むいか,めあて,もうう,やえば,ゆー,よい,らーゆ,りありてぃ／りありてぃー,るい,れい,ろうか,わーるどかっぷ,,がーでにんぐ,ぎしゅ,ぐあむ,げいじゅつ,ごうい,ざいこ,じぇすちゃー,ずいしょ,ぜいたく,ぞうか,だいあもんど／だいやもんど,,でいさーびす,どあのぶ,ばーちゃる,びーきゅう,ぶーいんぐ,べいぐんきち,ぼいすっちぇんじゃー,ぱーきんぐ,ぴあにすと,ぷーる,ぺありんぐ,ぽえむ
あいさつ,いいなおし,ういんなー,えあめーる,おいうち,かーぺっと,きうい,くいず,けいかい,こい,さい,しいく,すいーつ,せいか,そうがんきょう,たい,ちいき,ついったー,てあらい,とうがらし,ないしょく,にかい,ぬいばり,ねあせ,のう／のうがく,はーもにか,ひーたー,ふぁいる,へあーすたいる,ほいくしょ,まーぼーはるさめ,みーとそーす,むいしき,めい,もうけ,やおや,ゆううつ,よう,らいう,りある,るいーじ,れい,ろうがんきょう,わいしゃつ,,がーど,ぎじゅつ,ぐーぐる,げいじゅつか,ごうかく,ざいこう,じぇっと,ずいずいずっころばし,ぜいにく,ぞうか,だいえっと,,でぃすかうんとすとあ,どいつ,ばーてんだー,びーきゅうぐるめ,ぶーけ,べいこく,ぼいすとれーにんぐ,ぱーく,ぴあにっしも,ぷーるさいど,ぺあるっく,ぽーかー
あいす,いいなり,うーる,えあろびくす,おいかぜ,かい,きおく,くいにげ,けいかく,こいごころ,さいあく,しーそー,すいえい,せいか,そうぎ,たいあたり,ちーず,ついんてーる,てぃーかっぷ,とうき,ないしょばなし,にかいだて,ぬいめ,ねいき,のうか,はい,ひーろー,ふぁすなー,へああれんじ,ほいっする,まーまれーど／ままれーど,みーとぱい,むーす,めいおうせい,もうこうげき,やがい,ゆうえんち,ようい,らいがっき,りあるたいむ,るいけい,れいあうと,ろうご,わいどしょー,,がーねっと,ぎじゅつしゃ,ぐーぐるまっぷ,げーと,ごうけい,ざいこうせい,じぇっとこーすたー,ずうたい,ぜいべつ,ぞうかんごう,だいおう,,でぃすく,どいつご,ばーなー,びーじーえむ,ぶーつ,べいすたーず,ぼいすめも,ぱーせんと,ぴあの,ぷーるばっぐ,ぺいんと,ぽーかーふぇいす
あいず,いいわけ,うーろんちゃ,えい,おいたち,かいいぬ,きかい,くいもの,けいき,こいし,さいかい,しいたけ,すいか,せいかい,そうぐう,たいいく,ちーたー,つー,てぃーしゃつ,とうきゅう,ないぞう,にがおえ,ぬいもの,ねいるあーと,のうかい,はい,ひえしょう,ふぁっくす,へあからー,ほいっぷ,まいく,みーとぼーる,むーど,めいが,もうしこみ,やがいかつどう,ゆうかい,ようか,らいき,りーぐ,るいご,れいかい,ろうじんほーむ,わいぱー,,がーりっく,ぎせい,ぐうすう,げーとぼーる,ごうじょう,ざいしつ,じぇらーと,ずーむ,ぜいむしょ,ぞうき,だいおういか,,でぃずにー,どう,ばーにゃかうだー,びーず,ぶーむ,べいまっくす,ぼいすれこーだー,ぱーそなるこんぴゅーたー,ぴあのきょうしつ,ぷちとまと,ぺーじ,ぽーく
あいすてぃー,いいんかい,うえ,えいが,おいる,かいが,きがえ,くうき,けいけんち,こいぬ,さいがい,しーとべると,すいしゃ,せいかく,そうげい,たいいくずわり,ちーむ,つうがく,てぃーばっく,とうぎゅう,ないたー,にがみ,ぬー,ねいろ,のうきぐ,はいいろ,ひかえしつ,ふぁっしょんもでる,へあすぷれー,ほいるやき,まいこ,みいら,むーどめーかー,めいがら,もうしこみしょ,やかた,ゆうがた,ようが,らいきゃく,りーだー,るいじ,れいがい,ろうそく,わいふ,,がーりっくとーすと,ぎせいしゃ,ぐうたら,げーむ,ごうせい,ざいじゅう,じぇらしー,ずーむ,ぜうす,ぞうきいしょく,だいがく,,でぃずにーらんど,どう,ばーびー,びーすと,ぶか,べーかりー,ぼいらー,ぱーつ,ぴーあーる,ぷっしゅ,ぺーす,ぽーくういんなー
あいすほっけー,いいんちょう,うぇあ,えいかいわ,おいわい,かいがい,きかんしゃ,くうきいれ,けいこ,こいびと,さいきょう,しお,すいす,せいかく,そうげいばす,たいおんけい,ちえ,つーしょっと,ていきゅうび,とうきょう,ないと,にきさく,ぬーど,ねえさま,のうぎょう,はいえな,ひかえめ,ふぁみりー,へあばんど,ほうい,まいご,みうごき,むーびー,めいきゅう,もうじゃ,やかたぶね,ゆーかり,ようかい,らいげつ,りーだーしっぷ,るいじゅうろくせい,れいぎ,ろうどう,わいやー,,がーりっくらいす,ぎそう,ぐざい,げーむおーばー,ごうぞく,ざいす,じかい,ずーむあっぷ,ぜくしぃ,ぞうきばやし,だいがくいも,,でぃすぷれい,どうい,ばーる,びーだま,ぶかつ,べーきんぐぱうだー,ぼいる,ぱーてぃー,ぴーく,ぷでぃんぐ,ぺーすと,ぽーくかれー
あいて,いえ,うえすと,えいがかんとく,おうこく,かいがら,ききて,くうこう,けいご,こいんらんどりー,さいく,しおやき,すいせい,せいかつ,そうこ,たいがー,ちぇあ,つうしんはんばい,ていくあうと,とうきょうたわー,ないふ,にきび,ぬーどる,ねーぶる,のうぐ,はいき,ひがえり,ふぁみりーかー,へあぶらし,ほうい,まいたけ,みうち,むーるがい,めいきょく,もうじゅう,やぎ,ゆうき,ようかいうぉっち,らいしゅう,りーち,るいぼすてぃー,れいぎさほう,ろうどうくみあい,わいやれす,,がーる,ぎそく,ぐず,げーむき,ごうだつ,ざいせい,じかく,ずが,ぜっかい,ぞうきんがけ,だいがくせい,,でぃなー,どうが,ばい,びーち,ぶかっこう,べーぐる,ぼう,ぱーと,ぴーす,ぷらいすれす,ぺーすめーかー,ぽーくそてー
